mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
470.	0.0037203892000000002	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
480.	0.0035643924	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
490.	0.0034164644	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
500.	0.0032759328000000003	0.3	-0.1	2.	2.0223748416156684	-2.0024984394500787
550.	0.00267279	0.3	-0.2	2.1	2.1213203435596424	-2.1095023109728985
600.	0.0022014376000000003	0.3	-0.3	2.1	2.1213203435596424	-2.1213203435596424
650.	0.0018282555999999998	0.3	-0.3	2.1	2.1213203435596424	-2.1213203435596424
700.	0.00152971	0.3	-0.4	2.2	2.220360331117452	-2.23606797749979
750.	0.001287646	0.3	-0.4	2.2	2.220360331117452	-2.23606797749979
800.	0.0010906328	0.3	-0.5	2.3	2.3194827009486403	-2.3537204591879637
850.	0.000927912	0.3	-0.5	2.3	2.3194827009486403	-2.3537204591879637
900.	0.000793432	0.3	-0.6	2.4	2.4186773244895647	-2.4738633753705965
950.	0.0006811412	0.3	-0.6	2.4	2.4186773244895647	-2.4738633753705965
1000.	0.00058713968	0.3	-0.7	2.5	2.5179356624028344	-2.596150997149434
1050.	0.00050772924	0.3	-0.7	2.5	2.5179356624028344	-2.596150997149434
1100.	0.000440422	0.3	-0.8	2.6	2.6172504656604803	-2.7202941017470885
1150.	0.00038313352	0.3	-0.8	2.6	2.6172504656604803	-2.7202941017470885
1200.	0.0003341828	0.3	-0.9	2.7	2.716615541441225	-2.8460498941515415
1250.	0.00029215780000000003	0.3	-0.9	2.7	2.716615541441225	-2.8460498941515415
1300.	0.00025598267999999997	0.3	-0.9	2.8	2.8160255680657444	-2.9410882339705484
1350.	0.00022478332000000001	0.4	-1.	2.8	2.82842712474619	-2.973213749463701
1400.	0.00019775284	0.4	-1.	2.9	2.9274562336608896	-3.0675723300355937
1450.	0.00017428607999999998	0.4	-1.1	2.9	2.9274562336608896	-3.1016124838541645
1500.	0.00015384512	0.4	-1.1	3.	3.026549190084311	-3.1953090617340916
1550.	0.00013602652	0.5	-1.2	3.	3.0413812651491097	-3.2310988842807022
1600.	0.00012042683999999999	0.5	-1.2	3.1	3.1400636936215167	-3.3241540277189325
1650.	0.00010677711999999999	0.5	-1.3	3.2	3.23882694814033	-3.453983207834109
1700.	0.00009480839999999999	0.5	-1.3	3.2	3.23882694814033	-3.453983207834109
1750.	0.00008425172	0.6	-1.4	3.3	3.3541019662496843	-3.584689665786984
1800.	0.0000749726	0.6	-1.4	3.4	3.4525353003264136	-3.676955262170047
1850.	0.000066742424	0.6	-1.5	3.4	3.4525353003264136	-3.716180835212409
1900.	0.00005950067599999999	0.6	-1.5	3.5	3.5510561809129406	-3.8078865529319543
1950.	0.000053092704	0.7	-1.6	3.6	3.66742416417845	-3.939543120718442
2000.	0.000047417648	0.7	-1.6	3.6	3.66742416417845	-3.939543120718442
2050.	0.000042381372	0.7	-1.7	3.7	3.7656340767525465	-4.071854614300467
2100.	0.000037909912	0.7	-1.7	3.8	3.8639358172723313	-4.162931659299729
2150.	0.000033929304	0.7	-1.8	3.9	3.96232255123179	-4.295346318982906
2200.	0.00003039248	0.8	-1.8	3.9	3.9812058474788765	-4.295346318982906
2250.	0.000027238924	0.8	-1.9	4.	4.079215610874228	-4.428317965096905
2300.	0.000024428292	0.8	-1.9	4.1	4.177319714841085	-4.518849411078001
2350.	0.000021913516	0.9	-2.	4.2	4.295346318982906	-4.651881339845203
2400.	0.0000196677	0.9	-2.	4.3	4.393176527297759	-4.742362280551751
